userName,score,at,content,clean,text_preprocessed,toSantance,polarity_score,polarity
Khusnul,1,2023-02-14 03:38:26,Aplikasi sampah! kesalahan sistem kok setiap hari! Error kok setiap hari juga! Sangat tidak berguna!,aplikasi sampah kesalahan sistem kok setiap hari error kok setiap hari juga sangat tidak berguna,"['aplikasi', 'sampah', 'salah', 'sistem', 'error', 'guna']",aplikasi sampah kesalahan sistem error berguna,-20,negative
annas muttaqin,5,2023-02-14 03:38:05,"Semakin kesini semakin baik tapi alangkah lebih baiknya nominal pengambilan di atm minimal 50 ribu jangan 100 ribu, karna saya yang jauh dari indomaret sangat sulit untuk mengambil uang nominal 50 ribu. Mungkin segitu aja semoga masukan dari saya dapat di terima dengan baik terima kasih",semakin kesini semakin baik tapi alangkah lebih baiknya nominal pengambilan di atm minimal  ribu jangan  ribu karna saya yang jauh dari indomaret sangat sulit untuk mengambil uang nominal  ribu mungkin segitu aja semoga masukan dari saya dapat di terima dengan baik terima kasih,"['kesini', 'alangkah', 'baik', 'nominal', 'ambil', 'atm', 'minimal', 'ribu', 'ribu', 'indomaret', 'sulit', 'ambil', 'uang', 'nominal', 'ribu', 'segitu', 'moga', 'masuk', 'terima', 'terima', 'kasih']",kesini alangkah baiknya nominal pengambilan atm minimal ribu ribu indomaret sulit mengambil uang nominal ribu segitu semoga masukan terima terima kasih,-9,negative
Zanuha Shop,5,2023-02-14 03:37:23,Sangat memuaskan ☺️🙏🙏🙏,sangat memuaskan,['muas'],memuaskan,5,positive
Tedy Arday,5,2023-02-14 03:35:50,"G sia"" puya mbengking tr yata gampng ambil uwang yh mntap",g sia puya mbengking tr yata gampng ambil uwang yh mntap,"['g', 'sia', 'puya', 'mbengking', 'tr', 'yata', 'gampng', 'ambil', 'uwang', 'yh', 'mntap']",g sia puya mbengking tr yata gampng ambil uwang yh mntap,-10,negative
Muhammad Saniy,2,2023-02-14 03:34:55,"Pelayan pengaduan sangat buruk, dan sudah 2x saya setor tunai tanpa kartu selalu gagal dan harus nunggu 1 minggu lebih buat pengembalian dana",pelayan pengaduan sangat buruk dan sudah x saya setor tunai tanpa kartu selalu gagal dan harus nunggu  minggu lebih buat pengembalian dana,"['layan', 'adu', 'buruk', 'x', 'setor', 'tunai', 'kartu', 'gagal', 'nunggu', 'minggu', 'kembali', 'dana']",pelayan pengaduan buruk x setor tunai kartu gagal nunggu minggu pengembalian dana,-4,negative
Prancis Manurung,5,2023-02-14 03:34:12,"puas, transaksi cepat, pokoknya sangat membantu",puas transaksi cepat pokoknya sangat membantu,"['puas', 'transaksi', 'cepat', 'pokok', 'bantu']",puas transaksi cepat pokoknya membantu,6,positive
omsurya,1,2023-02-14 03:34:10,M.banking mu tidak berguna malah mempersulit. . .dan juga Web IB tanggal 28 bulan ini akan tidak ada lagi. . .gimana saya mau transaksi uang yang besar. . .sedangkan di BRImo transfer tidak bisa lebih dari 100 juta. . .emang tidak berguna dan mempersulit pengguna. . .mending gua pindah ke Bank lain. . .,mbanking mu tidak berguna malah mempersulit  dan juga web ib tanggal  bulan ini akan tidak ada lagi  gimana saya mau transaksi uang yang besar  sedangkan di brimo transfer tidak bisa lebih dari  juta  emang tidak berguna dan mempersulit pengguna  mending gua pindah ke bank lain,"['mbanking', 'mu', 'guna', 'sulit', 'web', 'ib', 'tanggal', 'transaksi', 'uang', 'brimo', 'transfer', 'juta', 'emang', 'guna', 'sulit', 'guna', 'lebih', 'baik', 'pindah', 'bank']",mbanking mu berguna mempersulit web ib tanggal transaksi uang brimo transfer juta emang berguna mempersulit pengguna lebih baik pindah bank,6,positive
Yuz Yuz,5,2023-02-14 03:29:32,Ok,ok,['ok'],ok,4,positive
M. Anton Sadidu,5,2023-02-14 03:29:03,Sangat bermanfaatn,sangat bermanfaatn,['bermanfaatn'],bermanfaatn,0,neutral
Firdaus Mandako,5,2023-02-14 03:27:21,Siip,siip,['siip'],siip,0,neutral
